"EventType","Full Waveform"
"SampleRate","2048 sps"
"Channel","Tran"
"Channel","Vert"
"Channel","Long"
"Units","mm/s"
"EventTime","09:14:13"
"EventDate","2021-09-03"
"RecordStopMode","Fixed"
"Pre-triggerLength","0.25 sec"
"RecordTime","3.0 sec"
"AutoStopTime","1 sec"
"Trigger","Long"
"GeoTriggerLevel","0.270 mm/s"
"GeoRange","254.000 mm/s"
"Operator","Operator"
"Setup","Default Micromate DIN.MMB"
"TitleNote1","Location"
"TitleString1",""
"TitleNote2","Client"
"TitleString2",""
"TitleNote3","Company"
"TitleString3",""
"TitleNote4","General Notes"
"TitleString4",""
"PostEventNote",""
"SerialNumber","UM6972"
"Version","Micromate DIN 10.90"
"FileName","UM6972_20210903091413.IDFW"
"BatteryLevel","3.6 volts"
"Calibration","June 4, 2015 by Instantel"
"USBSensorSupport","Disabled"
"TranPPV","0.426 mm/s"
"VertPPV","0.166 mm/s"
"LongPPV","3.011 mm/s"
"TranPPVPonderated","0.185 mm/s"
"VertPPVPonderated","0.166 mm/s"
"LongPPVPonderated","0.504 mm/s"
"TranPPVdB","7.4196 dB"
"VertPPVdB","15.6231 dB"
"LongPPVdB","9.5738 dB"
"TranZCFreq","48.8 Hz"
"VertZCFreq","32.0 Hz"
"LongZCFreq","93.1 Hz"
"TranTimeofPeak","0.371 sec"
"VertTimeofPeak","2.386 sec"
"LongTimeofPeak","0.702 sec"
"TranPeakAcceleration","0.041 g"
"VertPeakAcceleration","0.036 g"
"LongPeakAcceleration","0.418 g"
"TranPeakDisplacement","0.001 mm"
"VertPeakDisplacement","0.001 mm"
"LongPeakDisplacement","0.003 mm"
"PeakVectorSum","3.023 mm/s"
"PeakVectorSumTimeSum","0.702 sec"
"TranTestResults","Passed"
"VertTestResults","Passed"
"LongTestResults","Passed"
"Tran","Vert","Long"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
