"EventType : Full Waveform"
"SampleRate : 2048 sps"
"Channel : Tran"
"Channel : Vert"
"Channel : Long"
"Units : mm/s"
"EventTime : 07:42:06"
"EventDate : 2021-09-04"
"RecordStopMode : Fixed"
"Pre-triggerLength : 0.25 sec"
"RecordTime : 3.0 sec"
"AutoStopTime : 1 sec"
"Trigger : Tran"
"GeoTriggerLevel : 0.270 mm/s"
"GeoRange : 254.000 mm/s"
"Operator : Operator"
"Setup : Default Micromate DIN.MMB"
"TitleNote1 : Location"
"TitleString1 : "
"TitleNote2 : Client"
"TitleString2 : "
"TitleNote3 : Company"
"TitleString3 : "
"TitleNote4 : General Notes"
"TitleString4 : "
"PostEventNote : "
"SerialNumber : UM6972"
"Version : Micromate DIN 10.90"
"FileName : UM6972_20210904074206.IDFW"
"BatteryLevel : 3.6 volts"
"Calibration : June 4, 2015 by Instantel"
"USBSensorSupport : Disabled"
"TranPPV : 0.709 mm/s"
"VertPPV : 0.772 mm/s"
"LongPPV : 3.728 mm/s"
"TranPPVPonderated : 0.232 mm/s"
"VertPPVPonderated : 0.463 mm/s"
"LongPPVPonderated : 0.643 mm/s"
"TranPPVdB : 2.9826 dB"
"VertPPVdB : 2.2429 dB"
"LongPPVdB : 11.4298 dB"
"TranZCFreq : 44.5 Hz"
"VertZCFreq : 51.2 Hz"
"LongZCFreq : 42.7 Hz"
"TranTimeofPeak : 1.211 sec"
"VertTimeofPeak : 1.283 sec"
"LongTimeofPeak : 2.532 sec"
"TranPeakAcceleration : 0.123 g"
"VertPeakAcceleration : 0.077 g"
"LongPeakAcceleration : 0.425 g"
"TranPeakDisplacement : 0.001 mm"
"VertPeakDisplacement : 0.003 mm"
"LongPeakDisplacement : 0.004 mm"
"PeakVectorSum : 3.777 mm/s"
"PeakVectorSumTimeSum : 2.532 sec"
"TranTestResults : Passed"
"VertTestResults : Passed"
"LongTestResults : Passed"
Waveform Data Channels
	Tran	Vert	Long
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
	0.008	0.008	0.008
