"EventType","Full Waveform"
"SampleRate","2048 sps"
"Channel","Tran"
"Channel","Vert"
"Channel","Long"
"Units","mm/s"
"EventTime","07:42:35"
"EventDate","2021-09-04"
"RecordStopMode","Fixed"
"Pre-triggerLength","0.25 sec"
"RecordTime","3.0 sec"
"AutoStopTime","1 sec"
"Trigger","Tran"
"GeoTriggerLevel","0.270 mm/s"
"GeoRange","254.000 mm/s"
"Operator","Operator"
"Setup","Default Micromate DIN.MMB"
"TitleNote1","Location"
"TitleString1",""
"TitleNote2","Client"
"TitleString2",""
"TitleNote3","Company"
"TitleString3",""
"TitleNote4","General Notes"
"TitleString4",""
"PostEventNote",""
"SerialNumber","UM6972"
"Version","Micromate DIN 10.90"
"FileName","UM6972_20210904074235.IDFW"
"BatteryLevel","3.6 volts"
"Calibration","June 4, 2015 by Instantel"
"USBSensorSupport","Disabled"
"TranPPV","0.638 mm/s"
"VertPPV","0.788 mm/s"
"LongPPV","4.784 mm/s"
"TranPPVPonderated","0.199 mm/s"
"VertPPVPonderated","0.492 mm/s"
"LongPPVPonderated","0.747 mm/s"
"TranPPVdB","3.8978 dB"
"VertPPVdB","2.0675 dB"
"LongPPVdB","13.5963 dB"
"TranZCFreq","53.9 Hz"
"VertZCFreq","51.2 Hz"
"LongZCFreq","93.1 Hz"
"TranTimeofPeak","2.829 sec"
"VertTimeofPeak","1.802 sec"
"LongTimeofPeak","1.853 sec"
"TranPeakAcceleration","0.110 g"
"VertPeakAcceleration","0.076 g"
"LongPeakAcceleration","0.569 g"
"TranPeakDisplacement","0.001 mm"
"VertPeakDisplacement","0.003 mm"
"LongPeakDisplacement","0.003 mm"
"PeakVectorSum","4.829 mm/s"
"PeakVectorSumTimeSum","1.853 sec"
"TranTestResults","Passed"
"VertTestResults","Passed"
"LongTestResults","Passed"
"Tran","Vert","Long"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
"0.008","0.008","0.008"
